factor,performance_begin,performance_clockDuration,performance_duration,performance_end,performance_realTimeFactor,performance_traciDuration,vehicleTripStatistics_count,vehicleTripStatistics_departDelay,vehicleTripStatistics_departDelayWaiting,vehicleTripStatistics_duration,vehicleTripStatistics_routeLength,vehicleTripStatistics_speed,vehicleTripStatistics_timeLoss,vehicleTripStatistics_totalDepartDelay,vehicleTripStatistics_totalTravelTime,vehicleTripStatistics_waitingTime,vehicles_inserted
2.8,600.00,0.61,1800.00,2400.00,2970.30,2.04,1025,4.54,-1.00,88.97,592.35,7.76,34.65,4649.00,91197.00,2.84,1084
2.9,600.00,0.60,1800.00,2400.00,3025.21,0.01,1029,3.08,-1.00,85.66,592.58,7.88,31.17,3173.00,88145.00,2.50,1090
3.0,600.00,0.70,1800.00,2400.00,2560.46,0.00,1089,30.80,-1.00,94.91,582.91,7.40,41.28,33544.00,103357.00,2.71,1151
3.1,600.00,0.71,1800.00,2400.00,2553.19,0.63,1093,32.81,-1.00,94.88,583.39,7.34,41.29,35859.00,103705.00,2.75,1155
3.2,600.00,0.76,1800.00,2400.00,2384.11,3.99,1109,39.24,-1.00,99.16,585.01,7.11,45.52,43514.00,109966.00,3.36,1180
3.3,600.00,0.80,1800.00,2400.00,2261.31,0.77,1094,38.79,-1.00,104.96,584.00,6.87,51.36,42435.00,114826.00,3.73,1171
3.4,600.00,0.80,1800.00,2400.00,2238.81,2.80,1130,42.11,-1.00,105.14,582.87,6.82,51.64,47583.00,118807.00,4.47,1202
3.5,600.00,1.37,1800.00,2400.00,1312.91,5.04,1172,68.00,-1.00,113.89,571.21,6.45,61.51,79697.00,133481.00,3.46,1266
3.6,600.00,0.97,1800.00,2400.00,1859.50,4.01,1154,76.08,-1.00,119.21,569.27,6.51,66.93,87799.00,137571.00,4.00,1261
3.7,600.00,0.95,1800.00,2400.00,1896.73,3.40,1176,72.42,-1.00,115.98,571.70,6.40,63.59,85163.00,136390.00,3.39,1276
3.8,600.00,0.97,1800.00,2400.00,1865.28,2.93,1177,74.82,-1.00,117.77,572.77,6.45,65.32,88062.00,138619.00,3.69,1279
3.9,600.00,1.09,1800.00,2400.00,1651.38,1.40,1199,77.14,-1.00,132.20,570.64,6.37,79.77,92498.00,158507.00,3.99,1314
4.0,600.00,1.12,1800.00,2400.00,1601.42,0.81,1187,83.16,-1.00,134.68,568.87,6.32,82.37,98710.00,159871.00,5.06,1302
4.1,600.00,1.07,1800.00,2400.00,1675.98,7.76,1199,81.81,-1.00,125.73,570.11,6.33,73.50,98092.00,150750.00,4.20,1314
4.2,600.00,1.26,1800.00,2400.00,1433.12,6.29,1265,95.56,-1.00,134.36,557.73,5.31,83.19,120888.00,169970.00,3.76,1391
4.3,600.00,1.84,1800.00,2400.00,978.79,0.34,1249,96.62,-1.00,135.58,557.45,5.22,84.43,120682.00,169344.00,4.11,1383
4.4,600.00,1.33,1800.00,2400.00,1349.33,1.67,1265,99.83,-1.00,143.46,559.43,5.26,92.23,126286.00,181482.00,3.60,1392
4.5,600.00,1.40,1800.00,2400.00,1289.40,4.25,1277,107.97,-1.00,144.38,551.93,5.22,93.73,137879.00,184378.00,4.49,1403
4.6,600.00,1.46,1800.00,2400.00,1236.26,3.14,1281,116.03,-1.00,145.76,561.12,5.05,94.22,148636.00,186720.00,5.01,1411
4.7,600.00,1.45,1800.00,2400.00,1243.95,2.05,1271,119.90,-1.00,148.17,560.52,5.03,96.68,152391.00,188324.00,5.49,1402
4.8,600.00,1.41,1800.00,2400.00,1273.89,1.30,1286,106.40,-1.00,145.00,556.61,5.32,93.80,136828.00,186477.00,5.30,1416
4.9,600.00,1.41,1800.00,2400.00,1274.79,1.67,1300,109.47,-1.00,143.46,558.89,5.50,92.08,142316.00,186492.00,4.55,1429
5.0,600.00,1.51,1800.00,2400.00,1195.22,1.18,1277,125.53,-1.00,154.32,562.33,4.93,102.53,160296.00,197074.00,4.88,1404
