factor,performance_begin,performance_clockDuration,performance_duration,performance_end,performance_realTimeFactor,performance_traciDuration,vehicleTripStatistics_count,vehicleTripStatistics_departDelay,vehicleTripStatistics_departDelayWaiting,vehicleTripStatistics_duration,vehicleTripStatistics_routeLength,vehicleTripStatistics_speed,vehicleTripStatistics_timeLoss,vehicleTripStatistics_totalDepartDelay,vehicleTripStatistics_totalTravelTime,vehicleTripStatistics_waitingTime,vehicles_inserted
0.5,600.00,0.10,1800.00,2400.00,18750.00,0.00,182,0.01,-1.00,62.05,598.16,9.75,7.28,2.00,11293.00,0.65,188
0.6,600.00,0.11,1800.00,2400.00,15929.20,2.14,220,0.03,-1.00,62.20,598.14,9.73,7.57,7.00,13683.00,0.71,228
0.7,600.00,0.13,1800.00,2400.00,13740.46,0.48,257,0.03,-1.00,62.78,598.30,9.62,7.83,7.00,16136.00,0.80,265
0.8,600.00,0.15,1800.00,2400.00,12328.77,3.25,294,0.03,-1.00,63.32,602.56,9.61,7.97,8.00,18616.00,0.77,304
0.9,600.00,0.16,1800.00,2400.00,11111.11,1.21,331,0.02,-1.00,63.17,601.10,9.63,7.99,7.00,20910.00,0.85,344
1.0,600.00,0.18,1800.00,2400.00,10055.87,2.77,370,0.04,-1.00,62.73,596.36,9.59,7.92,14.00,23212.00,0.77,384
1.1,600.00,0.19,1800.00,2400.00,9375.00,1.98,401,0.07,-1.00,63.89,602.32,9.57,8.33,28.00,25619.00,0.85,417
1.2,600.00,0.21,1800.00,2400.00,8737.86,0.27,439,0.06,-1.00,63.63,599.11,9.53,8.37,25.00,27936.00,0.92,454
1.3,600.00,0.23,1800.00,2400.00,7894.74,5.16,482,0.07,-1.00,64.49,602.56,9.47,8.98,35.00,31086.00,0.92,499
1.4,600.00,0.24,1800.00,2400.00,7500.00,2.23,528,0.03,-1.00,63.30,598.32,9.53,8.33,15.00,33421.00,0.90,545
1.5,600.00,0.26,1800.00,2400.00,6949.81,0.85,562,0.03,-1.00,63.85,595.97,9.48,8.92,15.00,35887.00,0.86,584
1.6,600.00,0.28,1800.00,2400.00,6521.74,3.19,600,0.09,-1.00,64.79,604.08,9.44,9.20,52.00,38873.00,0.95,620
1.7,600.00,0.30,1800.00,2400.00,6020.07,1.63,627,0.12,-1.00,64.51,598.08,9.40,9.42,78.00,40450.00,1.06,649
1.8,600.00,0.31,1800.00,2400.00,5732.48,3.27,678,0.04,-1.00,64.66,597.53,9.38,9.62,29.00,43841.00,1.09,704
1.9,600.00,0.33,1800.00,2400.00,5389.22,1.20,703,0.09,-1.00,65.57,604.77,9.35,9.95,61.00,46096.00,1.05,731
2.0,600.00,0.34,1800.00,2400.00,5357.14,4.07,744,0.07,-1.00,64.97,597.40,9.32,10.01,52.00,48334.00,1.08,770
2.1,600.00,0.36,1800.00,2400.00,4945.05,2.82,807,0.09,-1.00,65.72,596.14,9.23,10.84,71.00,53040.00,1.25,836
2.2,600.00,0.37,1800.00,2400.00,4838.71,1.89,824,0.11,-1.00,66.05,598.91,9.23,10.93,92.00,54422.00,1.30,853
2.3,600.00,0.40,1800.00,2400.00,4522.61,0.00,867,0.06,-1.00,67.37,605.20,9.18,11.71,48.00,58409.00,1.35,902
2.4,600.00,0.42,1800.00,2400.00,4337.35,3.98,906,0.10,-1.00,66.97,597.47,9.10,12.17,95.00,60676.00,1.46,941
2.5,600.00,0.43,1800.00,2400.00,4147.47,4.58,941,0.12,-1.00,67.35,596.66,9.01,12.61,109.00,63381.00,1.69,974
2.6,600.00,0.53,1800.00,2400.00,3370.79,4.93,956,0.16,-1.00,81.72,602.81,8.21,26.46,150.00,78130.00,2.24,1016
2.7,600.00,0.58,1800.00,2400.00,3082.19,1.63,1010,3.82,-1.00,85.84,589.68,7.91,31.84,3855.00,86700.00,2.42,1069
