type,saida-uf,saida-morro,saida-sp,factor
car,0.25865774929772434,0.21054833614007232,0.14019483380277994,3.0
bus,0.012626715114191917,0.01289423759008243,0.00692956138026112,3.1
car,0.2958094867541846,0.2176954805041656,0.12024433521148051,3.1
bus,0.013068235888405055,0.01371754896189945,0.007075850802167154,3.2
car,0.29580942366628427,0.2178125384985301,0.12130529407115971,3.2
bus,0.013588819660548488,0.01367466353480094,0.007115832753057954,3.3
car,0.2966748002538311,0.21680730806521784,0.1209747121279959,3.3
bus,0.013953737307675407,0.014020393540860154,0.007243788999949911,3.4
car,0.2916202338571876,0.2226099209827796,0.134103691705814,3.4
bus,0.014209515843346282,0.01443765758563074,0.007117548810111155,3.5
car,0.2944620772949994,0.2243720719468958,0.13362189502800986,3.5
bus,0.01463382467199239,0.015360219280392311,0.006978268100488634,3.6
car,0.2945271401531328,0.22142256767071355,0.13278052864008377,3.6
bus,0.013979507256354435,0.014837247112133689,0.006405996623106697,3.7
car,0.3386215977983295,0.23237693806478524,0.11282514233307409,3.7
bus,0.01448664080340709,0.015579292518978249,0.006788704112937256,3.8
car,0.3376024942467949,0.23155597440074574,0.11317216137335584,3.8
bus,0.0142334963167451,0.015625075392720667,0.006511621502029533,3.9
car,0.3383138091168796,0.230561343587362,0.12606860971079575,3.9
bus,0.014642729720210093,0.0159581887386648,0.006815428672138399,4.0
car,0.3401844718548259,0.23075549653101626,0.12691835901977916,4.0
bus,0.015585585212605921,0.01583703820981191,0.006422309555816052,4.1
car,0.340039468288081,0.2403993851043284,0.12350330826147762,4.1
bus,0.015443702994721305,0.016514615072463663,0.006755690916250239,4.2
car,0.3372653760201844,0.2415359177487706,0.12530371936746887,4.2
bus,0.01581636561985481,0.017005043727947273,0.006439299648780897,4.3
car,0.3374563521238389,0.2406070589776121,0.12565883168567477,4.3
bus,0.015702329730568388,0.016977275450954937,0.006158656117952972,4.4
car,0.33621767142682185,0.23927886414414806,0.12178253988975223,4.4
bus,0.0161177927721732,0.017518151473776455,0.0065748229207771135,4.5
car,0.33587859349948535,0.24025690948991238,0.12230543958355182,4.5
bus,0.013667131751992172,0.017182592439267168,0.005838366437855574,4.6
car,0.3416491260142388,0.2567039236783406,0.09928290193961882,4.6
bus,0.014272500414086384,0.01771644777236956,0.0058623185656986165,4.7
car,0.3435951506022549,0.2542261824021942,0.1143392962701361,4.7
bus,0.01467640973548508,0.01804850959807481,0.006113270498612722,4.8
car,0.34752694547701923,0.2547018476236329,0.11585832107298633,4.8
bus,0.014274926538006156,0.018034892787970314,0.006357977553037212,4.9
car,0.34463972522087777,0.2531558545682567,0.11516511693258649,4.9
bus,0.014461103449056979,0.018382368478065323,0.006648074621034855,5.0
car,0.34520432506157916,0.2538274716438528,0.11582252633330674,5.0
