type,saida-uf,saida-morro,saida-sp,factor
bus,0.0025796485629269793,0.003005300725521224,0.0014156374379881858,0.5
car,0.04476939655788883,0.04239752997247386,0.026995465135385904,0.5
bus,0.0033250308837223285,0.0031649577925461554,0.002103563966264976,0.6
car,0.0531014826892522,0.05065454445980124,0.03210182125807595,0.6
bus,0.0033784030001853954,0.003487161581080915,0.0025403386154337773,0.7
car,0.062428497767424894,0.06043346046521626,0.037681387537373295,0.7
bus,0.003673788808412044,0.004266235308991973,0.003028966764713502,0.8
car,0.07220856094346567,0.06843023187062681,0.04255839227189399,0.8
bus,0.004274136869836539,0.005072281131914833,0.0023755838774214486,0.9
car,0.07923506494916746,0.07544204470699345,0.049221858972578414,0.9
bus,0.004987572892043077,0.005370577237371879,0.002783978095062912,1.0
car,0.0891462944324138,0.08367338485676376,0.053401831587116665,1.0
bus,0.005348869082748988,0.005129397270511056,0.0034738553150618057,1.1
car,0.09918479990347433,0.09358640974109517,0.057993601692712636,1.1
bus,0.0059936297895004055,0.005698390769539894,0.003912890395285983,1.2
car,0.10655117001917787,0.10033839713084618,0.06403710434110997,1.2
bus,0.005411923422775335,0.006444068943487082,0.004388552343726162,1.3
car,0.11423425645516469,0.1146308992530894,0.07139666189227444,1.3
bus,0.005878208820798673,0.006919665356733584,0.004395383667403302,1.4
car,0.12408135263272153,0.12329854521119306,0.07630538734789301,1.4
bus,0.006393921434841963,0.007595910892395775,0.004811022066796022,1.5
car,0.13285386364061064,0.12516895042716675,0.08093052227940149,1.5
bus,0.006995573699951467,0.008414485553925667,0.005339450583017593,1.6
car,0.1427124103618869,0.13656972811257517,0.08692699788032485,1.6
bus,0.007547609617742307,0.008249888206012457,0.00580347501621673,1.7
car,0.15445968367726753,0.14839174108518277,0.09271990654901044,1.7
bus,0.008094691431273069,0.009094020609782752,0.005319827808191703,1.8
car,0.15785363967202887,0.14968523481765947,0.10049057775957522,1.8
bus,0.008157563374593144,0.009815983464815822,0.005719381216962903,1.9
car,0.17246821916272853,0.1638777390206812,0.10093537120294398,1.9
bus,0.008613775641967303,0.010166271914712671,0.005825518511616837,2.0
car,0.17670275904036908,0.1670256672560092,0.10973837729873417,2.0
bus,0.009231932584517027,0.01050545872829555,0.005836401580282836,2.1
car,0.19500716019571032,0.1841985816184261,0.11099721041035071,2.1
bus,0.009672766140308193,0.01026768180943104,0.006325531305243548,2.2
car,0.19954917801443883,0.18756371505290456,0.12011903245967495,2.2
bus,0.010341303335681437,0.010757845275015051,0.006527550589117597,2.3
car,0.21826833925251848,0.19963862507789454,0.1189610678348012,2.3
bus,0.010890647162100814,0.011224069001838201,0.007007855572349375,2.4
car,0.22416881369094388,0.20033756127844699,0.13051420540239675,2.4
bus,0.010205334850301648,0.012063527609120342,0.00694733999251307,2.5
car,0.22422133581066497,0.20311594596596566,0.13029231066516175,2.5
bus,0.010872173632282791,0.011966994426171383,0.006301564490670604,2.6
car,0.23089132655633135,0.20902355297098224,0.12745478919094422,2.6
bus,0.011411505342226824,0.0123898535560839,0.006657141737675934,2.7
car,0.2551733435550401,0.20754657540850943,0.12742865682889482,2.7
bus,0.011679723950712597,0.012690755005354899,0.006904650634780079,2.8
car,0.2630760936433757,0.21212575245549678,0.1273245957029634,2.8
bus,0.01248029841880116,0.013065396919366751,0.007203365295704858,2.9
car,0.26127064389974786,0.2123338434281179,0.1280817970508406,2.9
bus,0.01276362015675638,0.01359342426786149,0.007460352688633695,3.0
