type,saida-uf,saida-morro,saida-sp,factor
car,0.29719365477102133,0.2281923944142335,0.14045502166989615,2.7
bus,0.0068268082820070585,0.008337464595460687,0.004267521532458053,2.8
car,0.3004383842059698,0.2284233510654008,0.13910769739915024,2.8
bus,0.007236001225437073,0.008665603421541592,0.003909629488249666,2.9
car,0.3022616983184359,0.22890717939642363,0.11902902049062303,2.9
bus,0.007447028547497236,0.009001453962916009,0.0041042238025086894,3.0
car,0.34884497936263853,0.2377180782567589,0.11759929819797928,3.0
bus,0.006866608587304181,0.008694707812969571,0.0031492884217461056,3.1
car,0.3481924491656852,0.2409851975226363,0.11766627145959178,3.1
bus,0.007222663986037527,0.0090456610607572,0.0032579153443417683,3.2
car,0.3490332469051219,0.23664249573408505,0.13267427170185492,3.2
bus,0.0077936970695037106,0.009384230065353678,0.0033346887673567013,3.3
car,0.3469963512185763,0.24704744855991784,0.13043376492758454,3.3
bus,0.008151234935005868,0.009167082858108706,0.0034760050683249853,3.4
car,0.3452080871147448,0.246992180887145,0.1311183846203801,3.4
bus,0.00785170616996246,0.009495649427077573,0.0032209746171639546,3.5
car,0.3459545028560007,0.2480847392704124,0.12857653995917118,3.5
bus,0.008312676807760775,0.009813001830953766,0.003423621906429123,3.6
car,0.34682034202241746,0.2485651243238808,0.12967420322750706,3.6
bus,0.0073137400594733195,0.010137528636987173,0.003054605980086173,3.7
car,0.3522792907300476,0.2622756995676833,0.10394351339299676,3.7
bus,0.0077449646712533906,0.010457930855020104,0.0032211756228214426,3.8
car,0.35719967706613404,0.2611782299376171,0.12129834562922819,3.8
bus,0.008063619783736634,0.010837511397207993,0.003365205888442866,3.9
car,0.3561084951737455,0.25954772388756747,0.12059053741237853,3.9
bus,0.008069691081531903,0.011135926925845929,0.0035075040301623312,4.0
car,0.35460647904850323,0.25874257648416893,0.12143861996035529,4.0
bus,0.0069166159512971444,0.010966208165862093,0.0036428887278683987,4.1
car,0.3524263120094636,0.25939707673313384,0.11795133097498481,4.1
bus,0.007272705966241566,0.011254921468931811,0.0037118381707961167,4.2
car,0.35813439776902306,0.27729683685315065,0.11487927985146518,4.2
bus,0.007384408856537114,0.011564880906573469,0.003860705783912226,4.3
car,0.352239457110632,0.2770972083973712,0.11430114497482864,4.3
bus,0.0076552478265612105,0.011994682891410266,0.00398058049109084,4.4
car,0.3566745376414747,0.27652386661461226,0.11488052763283019,4.4
bus,0.0076903785128416054,0.012351639096293925,0.0036709571444674266,4.5
car,0.3514739452953395,0.27798332265380765,0.11610638142729131,4.5
bus,0.007910563721618321,0.01314266785915796,0.003089584379562289,4.6
car,0.35386471074974785,0.27670969420266883,0.1152543182000868,4.6
bus,0.00850793755953565,0.01286931848170165,0.0030863271090375444,4.7
car,0.36056912246418066,0.275913000550581,0.14003175582598462,4.7
bus,0.008493826108260159,0.013310258159884583,0.003250541573542899,4.8
car,0.3590166441133566,0.2734222160392844,0.140784798142438,4.8
bus,0.006380848642910641,0.013084737419184162,0.002800807177668736,4.9
car,0.35213876696424745,0.3023296045145596,0.09947707007622471,4.9
bus,0.006490742257730965,0.013293316641482372,0.002932050504584449,5.0
car,0.35341837679963517,0.3033845191859878,0.09940772068926994,5.0
