factor,performance_begin,performance_clockDuration,performance_duration,performance_end,performance_realTimeFactor,performance_traciDuration,vehicleTripStatistics_count,vehicleTripStatistics_departDelay,vehicleTripStatistics_departDelayWaiting,vehicleTripStatistics_duration,vehicleTripStatistics_routeLength,vehicleTripStatistics_speed,vehicleTripStatistics_timeLoss,vehicleTripStatistics_totalDepartDelay,vehicleTripStatistics_totalTravelTime,vehicleTripStatistics_waitingTime,vehicles_inserted
0.5,600.00,0.13,1800.00,2400.00,14173.23,2.64,247,0.01,-1.00,63.02,598.68,9.63,7.83,2.00,15565.00,0.80,256
0.6,600.00,0.15,1800.00,2400.00,12328.77,5.44,300,0.02,-1.00,62.99,598.09,9.62,7.91,5.00,18898.00,0.77,309
0.7,600.00,0.17,1800.00,2400.00,10650.89,0.00,355,0.02,-1.00,62.74,596.38,9.59,7.90,7.00,22274.00,0.76,368
0.8,600.00,0.19,1800.00,2400.00,9473.68,0.93,402,0.03,-1.00,63.09,598.05,9.60,8.04,13.00,25363.00,0.83,416
0.9,600.00,0.21,1800.00,2400.00,8571.43,2.18,453,0.07,-1.00,62.95,596.83,9.56,8.08,34.00,28517.00,0.91,466
1.0,600.00,0.24,1800.00,2400.00,7659.57,2.01,509,0.05,-1.00,63.51,596.44,9.51,8.54,26.00,32327.00,0.86,528
1.1,600.00,0.26,1800.00,2400.00,7058.82,6.86,557,0.02,-1.00,63.70,597.72,9.50,8.62,13.00,35481.00,0.96,576
1.2,600.00,0.27,1800.00,2400.00,6569.34,3.25,603,0.08,-1.00,64.25,597.68,9.45,9.14,51.00,38744.00,0.99,625
1.3,600.00,0.30,1800.00,2400.00,6101.69,2.59,658,0.03,-1.00,64.38,598.12,9.42,9.23,18.00,42360.00,1.03,683
1.4,600.00,0.32,1800.00,2400.00,5572.76,0.57,716,0.03,-1.00,64.64,597.62,9.37,9.63,23.00,46282.00,1.03,740
1.5,600.00,0.35,1800.00,2400.00,5142.86,2.03,776,0.10,-1.00,64.78,595.90,9.32,9.97,79.00,50270.00,1.13,806
1.6,600.00,0.36,1800.00,2400.00,4945.05,3.45,812,0.04,-1.00,65.32,597.80,9.29,10.29,35.00,53041.00,1.17,839
