factor,performance_begin,performance_clockDuration,performance_duration,performance_end,performance_realTimeFactor,performance_traciDuration,vehicleTripStatistics_count,vehicleTripStatistics_departDelay,vehicleTripStatistics_departDelayWaiting,vehicleTripStatistics_duration,vehicleTripStatistics_routeLength,vehicleTripStatistics_speed,vehicleTripStatistics_timeLoss,vehicleTripStatistics_totalDepartDelay,vehicleTripStatistics_totalTravelTime,vehicleTripStatistics_waitingTime,vehicles_inserted
1.7,600.00,0.40,1800.00,2400.00,4488.78,4.79,890,0.07,-1.00,66.04,595.49,9.19,11.31,67.00,58776.00,1.37,924
1.8,600.00,0.40,1800.00,2400.00,4466.50,3.63,909,0.09,-1.00,66.06,596.90,9.19,11.28,81.00,60048.00,1.40,941
1.9,600.00,0.48,1800.00,2400.00,3742.20,0.00,1006,0.08,-1.00,71.45,594.47,8.71,16.84,85.00,71883.00,1.81,1049
2.0,600.00,0.50,1800.00,2400.00,3629.03,1.26,1021,0.07,-1.00,73.59,596.43,8.57,18.80,72.00,75137.00,2.05,1061
2.1,600.00,0.67,1800.00,2400.00,2690.58,0.93,1072,22.25,-1.00,92.97,585.96,7.61,39.05,23854.00,99668.00,2.29,1133
2.2,600.00,0.69,1800.00,2400.00,2627.74,2.18,1063,27.07,-1.00,94.78,584.41,7.50,41.13,28771.00,100757.00,2.48,1126
2.3,600.00,0.70,1800.00,2400.00,2560.46,0.00,1093,27.48,-1.00,95.79,587.46,7.39,41.90,30033.00,104695.00,2.84,1157
2.4,600.00,0.72,1800.00,2400.00,2506.96,1.15,1132,23.31,-1.00,94.77,587.04,7.32,40.85,26388.00,107278.00,2.76,1198
2.5,600.00,0.87,1800.00,2400.00,2066.59,2.01,1159,62.47,-1.00,106.67,574.93,6.74,53.95,72401.00,123627.00,3.22,1244
2.6,600.00,0.87,1800.00,2400.00,2061.86,2.15,1174,60.74,-1.00,104.28,576.41,6.82,51.37,71310.00,122430.00,3.03,1256
2.7,600.00,0.90,1800.00,2400.00,1993.36,0.66,1200,68.10,-1.00,109.58,575.04,6.60,56.95,81718.00,131501.00,3.24,1291
2.8,600.00,1.02,1800.00,2400.00,1757.81,1.84,1201,72.60,-1.00,126.15,574.26,6.35,73.39,87191.00,151507.00,3.11,1317
2.9,600.00,1.04,1800.00,2400.00,1737.45,0.00,1173,97.43,-1.00,121.92,578.01,6.40,68.93,114291.00,143009.00,3.33,1281
3.0,600.00,1.12,1800.00,2400.00,1602.85,2.96,1273,89.38,-1.00,123.35,559.22,6.15,71.99,113778.00,157021.00,3.27,1397
3.1,600.00,1.20,1800.00,2400.00,1497.50,0.81,1264,89.68,-1.00,137.36,561.88,5.81,85.88,113360.00,173629.00,3.33,1394
3.2,600.00,1.27,1800.00,2400.00,1416.21,0.00,1273,98.94,-1.00,139.45,556.39,5.73,88.38,125957.00,177517.00,3.94,1404
3.3,600.00,1.29,1800.00,2400.00,1397.52,1.20,1303,95.98,-1.00,137.51,558.87,5.70,86.21,125065.00,179177.00,4.00,1429
3.4,600.00,1.32,1800.00,2400.00,1366.74,1.71,1289,97.44,-1.00,137.45,558.68,5.98,86.08,125594.00,177174.00,4.37,1417
3.5,600.00,1.43,1800.00,2400.00,1263.16,0.00,1305,104.56,-1.00,148.34,560.15,5.19,96.92,136453.00,193585.00,4.46,1432
3.6,600.00,1.46,1800.00,2400.00,1229.51,0.12,1310,109.20,-1.00,149.44,561.74,5.14,97.73,143052.00,195767.00,3.70,1441
3.7,600.00,1.85,1800.00,2400.00,971.40,5.55,1281,185.08,-1.00,154.97,568.02,4.82,102.85,237088.00,198511.00,4.51,1416
3.8,600.00,1.79,1800.00,2400.00,1006.71,0.00,1332,180.93,-1.00,148.73,556.37,4.99,97.76,240999.00,198114.00,3.96,1467
3.9,600.00,1.81,1800.00,2400.00,997.23,1.08,1335,177.20,-1.00,150.44,557.82,4.92,98.99,236567.00,200839.00,3.99,1470
4.0,600.00,1.82,1800.00,2400.00,987.38,3.26,1316,175.66,-1.00,153.03,557.66,4.92,101.82,231169.00,201391.00,4.84,1448
4.1,600.00,1.93,1800.00,2400.00,934.09,2.73,1310,197.20,-1.00,157.48,562.86,4.82,105.48,258337.00,206298.00,4.50,1444
4.2,600.00,2.06,1800.00,2400.00,874.21,2.50,1337,192.51,-1.00,156.60,564.96,4.95,104.59,257392.00,209378.00,5.00,1471
4.3,600.00,1.96,1800.00,2400.00,919.31,0.00,1349,179.43,-1.00,155.57,562.11,4.98,103.83,242051.00,209866.00,4.62,1487
4.4,600.00,1.97,1800.00,2400.00,915.10,3.90,1360,180.80,-1.00,154.02,561.68,5.02,102.38,245886.00,209464.00,4.76,1498
4.5,600.00,1.98,1800.00,2400.00,907.26,6.13,1342,192.96,-1.00,156.76,567.87,4.91,104.58,258947.00,210372.00,5.13,1477
4.6,600.00,1.97,1800.00,2400.00,914.17,2.17,1351,178.76,-1.00,155.92,565.01,4.98,103.99,241511.00,210643.00,5.02,1489
4.7,600.00,2.20,1800.00,2400.00,818.93,5.63,1410,193.38,-1.00,158.07,557.70,4.86,106.81,272671.00,222879.00,5.67,1551
4.8,600.00,2.13,1800.00,2400.00,845.86,5.41,1396,195.28,-1.00,154.64,559.11,4.90,103.25,272615.00,215884.00,6.16,1529
4.9,600.00,3.10,1800.00,2400.00,580.08,2.49,1368,277.98,-1.00,159.62,572.53,4.95,106.94,380272.00,218362.00,5.69,1506
5.0,600.00,3.07,1800.00,2400.00,587.08,2.86,1381,272.96,-1.00,159.27,568.63,4.99,106.91,376964.00,219952.00,5.86,1517
